time,conc
12.006, 0.010
7.997, 0.009
6.014, 0.011
3.997, 0.016
3.022, 0.019
2.000, 0.024
1.515, 0.026
1.004, 0.035
0.761, 0.039
0.523, 0.046
0.275, 0.093
0.086, 0.117
0.002, 0.219

