time,conc
12.007, 0.004
7.989, 0.007
6.010, 0.011
3.997, 0.014
3.026, 0.015
2.013, 0.020
1.511, 0.021
1.004, 0.029
0.766, 0.032
0.523, 0.033
0.275, 0.054
0.074, 0.066
0.007, 0.112
