time,conc
12.016, 0.002
7.998, 0.005
6.010, 0.006
3.997, 0.012
3.026, 0.015
2.017, 0.020
1.515, 0.021
1.000, 0.029
0.766, 0.032
0.523, 0.033
0.288, 0.048
0.070, 0.066
0.003, 0.112
