time,conc
0,0
7.995, 0.003
6.006, 0.006
3.997, 0.009
3.017, 0.020
2.009, 0.024
1.511, 0.026
1.004, 0.030
0.757, 0.032
0.523, 0.046
0.275, 0.054
0.070, 0.066
0.006, 0.187
