time,conc
12.016, 0.002
7.998, 0.007
6.006, 0.010
3.989, 0.012
3.022, 0.014
2.013, 0.020
1.511, 0.021
1.004, 0.028
0.757, 0.032
0.527, 0.033
0.284, 0.054
0.083, 0.066
0.007, 0.112
