time,mean,sd
0.002,0.1484,0.0511106642492543
0.086,0.0762,0.0228078933704979
0.275,0.0606,0.0182975408183723
0.523,0.0382,0.00712039324756716
0.761,0.0334,0.00313049516849971
1.004,0.0302,0.00277488738510232
1.515,0.023,0.00273861278752583
2,0.0216,0.00219089023002066
3.022,0.0166,0.00270185121722126
3.997,0.0126,0.00260768096208106
6.014,0.0088,0.00258843582110896
7.997,0.0062,0.00228035085019828
12.006,0.0045,0.00384707681233427
