time, conc, max_sd
0.102, 50.338, 50.338
0.205, 64.703, 98.184
0.307, 70.074, 78.911
0.497, 56.253, 69.274
0.702, 46.056, 57.682
1.695, 27.286, 33.520
2.704, 18.450, 23.045
3.698, 13.103, 16.061
4.691, 7.622, 8.799
5.700, 5.497, 6.564
