time, conc, max_sd
0.023, 0.970, 0
0.461, 48.486, 115.865
0.922, 83.883, 159.686
1.476, 161.941, 305.733
1.956, 144.499, 250.249
3.948, 134.844, 328.662
7.903, 26.822, 47.866
8.939, 119.917, 206.580
9.443, 127.684, 213.892
15.986, 24.07, 43.648
